t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
136437549,0.000,0.022,0.0000,-0.0069,0.0000,0.0137,0.000,32.34,40.0,3,0
136438635,0.000,0.022,0.0000,0.0420,0.0000,-0.0236,0.000,32.34,40.0,3,0
136439868,0.000,0.022,0.0000,0.1167,0.0000,-0.0038,0.000,32.34,40.0,3,0
136440510,0.000,0.000,0.0000,0.0435,0.0000,-0.0104,0.000,32.34,40.0,3,0
136441581,0.000,0.000,0.0000,-0.0191,0.0000,0.0159,0.000,32.34,40.0,3,0
136442544,0.000,0.022,0.0000,-0.0114,0.0000,0.0192,0.000,32.34,40.0,3,0
136443560,0.000,0.000,0.0000,-0.0008,0.0000,0.0038,0.000,32.34,40.0,3,0
136444870,0.000,0.022,0.0000,-0.0328,0.0000,-0.0115,0.000,32.34,40.0,3,0
136445596,0.000,0.000,0.0000,-0.1152,0.0000,-0.0027,0.000,32.34,40.0,3,0
136446551,0.000,0.022,0.0000,0.0526,0.0000,0.0060,0.000,32.34,40.0,3,0
136447560,0.000,0.022,0.0000,-0.0954,0.0000,0.0126,0.000,32.34,40.0,3,0
136448542,0.000,0.022,0.0000,-0.0343,0.0000,0.0434,0.000,32.34,40.0,3,0
136449972,0.000,0.000,0.0000,0.0069,0.0000,-0.0016,0.000,32.34,40.0,3,0
136450550,0.000,0.022,0.0000,0.1228,0.0000,0.0137,0.000,32.34,40.0,3,0
136451564,0.000,0.022,0.0000,-0.0298,0.0000,0.0181,0.000,32.34,40.0,3,0
136452861,0.000,0.022,0.0000,0.0114,0.0000,0.0170,0.000,32.34,40.0,3,0
136453597,0.000,0.000,0.0000,-0.0648,0.0000,-0.0038,0.000,32.34,40.0,3,0
136454870,0.000,0.000,0.0000,-0.1091,0.0000,0.0082,0.000,32.34,40.0,3,0
136455562,0.000,0.022,0.0000,-0.0252,0.0000,-0.0181,0.000,32.34,40.0,3,0
136456869,0.000,0.022,0.0000,-0.0114,0.0000,-0.0368,0.000,32.34,40.0,3,0
136457600,0.000,0.000,0.0000,-0.0237,0.0000,0.0368,0.000,32.34,40.0,3,0
136458548,0.000,0.022,0.0000,0.1350,0.0000,-0.0027,0.000,32.34,40.0,3,0
136459953,0.000,0.000,0.0000,-0.0496,0.0000,-0.0049,0.000,32.34,40.0,3,0
