t_us,p_cmd,p_act,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
49467582,0.000,-0.110,0.0000,0.1106,0.0000,-0.0027,0.000,32.41,32.0,3,2048
49468901,0.000,-0.110,0.0000,-0.0862,0.0000,0.0247,0.000,32.41,32.0,3,2048
49469588,0.000,-0.110,0.0000,-0.0069,0.0000,-0.0126,0.000,32.41,32.0,3,2048
49470589,0.000,-0.110,0.0000,-0.0526,0.0000,-0.0093,0.000,32.41,32.0,3,2048
49471912,0.000,-0.110,0.0000,0.0252,0.0000,-0.0148,0.000,32.41,32.0,3,2048
49472564,0.000,-0.132,0.0000,-0.0832,0.0000,0.0148,0.000,32.41,32.0,3,2048
49473878,0.000,-0.132,0.0000,-0.0557,0.0000,0.0203,0.000,32.41,32.0,3,2048
49474565,0.000,-0.110,0.0000,0.0893,0.0000,-0.0137,0.000,32.41,32.0,3,2048
49475934,0.000,-0.110,0.0000,0.0374,0.0000,0.0214,0.000,32.41,32.0,3,2048
49476609,0.000,-0.110,0.0000,-0.0755,0.0000,-0.0148,0.000,32.41,32.0,3,2048
49477614,0.000,-0.132,0.0000,-0.0328,0.0000,0.0445,0.000,32.41,32.0,3,2048
49478887,0.000,-0.132,0.0000,-0.0465,0.0000,-0.0324,0.000,32.41,32.0,3,2048
49479618,0.000,-0.132,0.0000,-0.0786,0.0000,-0.0302,0.000,32.41,32.0,3,2048
49480561,0.000,-0.110,0.0000,0.0099,0.0000,0.0038,0.000,32.41,32.0,3,2048
49481571,0.000,-0.110,0.0000,0.0023,0.0000,-0.0049,0.000,32.41,32.0,3,2048
49482555,0.000,-0.110,0.0000,-0.0420,0.0000,0.0401,0.000,32.41,32.0,3,2048
49483927,0.000,-0.110,0.0000,0.1778,0.0000,0.0082,0.000,32.41,32.0,3,2048
49484561,0.000,-0.110,0.0000,-0.0847,0.0000,0.0269,0.000,32.41,32.0,3,2048
49485578,0.000,-0.110,0.0000,0.0755,0.0000,-0.0203,0.000,32.41,32.0,3,2048
49486555,0.000,-0.110,0.0000,0.0023,0.0000,-0.0038,0.000,32.41,32.0,3,2048
49487608,0.000,-0.110,0.0000,-0.0618,0.0000,0.0346,0.000,32.41,32.0,3,2048
49488884,0.000,-0.110,0.0000,0.0908,0.0000,-0.0280,0.000,32.41,32.0,3,2048
49489576,0.000,-0.110,0.0000,-0.0145,0.0000,0.0313,0.000,32.41,32.0,3,2048
49490560,0.000,-0.132,0.0000,-0.0023,0.0000,0.0357,0.000,32.41,32.0,3,2048
49491923,0.000,-0.132,0.0000,0.0099,0.0000,0.0016,0.000,32.41,32.0,3,2048
49492561,0.000,-0.110,0.0000,-0.0008,0.0000,-0.0412,0.000,32.41,32.0,3,2048
49493897,0.000,-0.110,0.0000,0.0008,0.0000,0.0269,0.000,32.41,32.0,3,2048
49494558,0.000,-0.110,0.0000,0.0694,0.0000,0.0247,0.000,32.41,32.0,3,2048
49495935,0.000,-0.110,0.0000,0.0191,0.0000,0.0148,0.000,32.41,32.0,3,2048
49496557,0.000,-0.110,0.0000,0.0908,0.0000,-0.0236,0.000,32.41,32.0,3,2048
49497578,0.000,-0.132,0.0000,-0.0786,0.0000,-0.0269,0.000,32.41,32.0,3,2048
49498877,0.000,-0.132,0.0000,-0.1259,0.0000,0.0335,0.000,32.41,32.0,3,2048
49499680,0.000,-0.110,0.0000,0.1106,0.0000,-0.0049,0.000,32.41,32.0,3,2048
49500562,0.000,-0.132,0.0000,-0.0740,0.0000,0.0038,0.000,32.41,32.0,3,2048
49501554,0.000,-0.110,0.0000,0.0008,0.0000,0.0225,0.000,32.41,32.0,3,2048
49502555,0.000,-0.110,0.0000,0.0572,0.0000,0.0159,0.000,32.41,32.0,3,2048
49503882,0.000,-0.110,0.0000,0.0359,0.0000,0.0357,0.000,32.41,32.0,3,2048
49504623,0.000,-0.110,0.0000,0.0313,0.0000,-0.0181,0.000,32.41,32.0,3,2048
49505625,0.000,-0.132,0.0000,-0.0282,0.0000,-0.0038,0.000,32.41,32.0,3,2048
49506584,0.000,-0.132,0.0000,-0.0725,0.0000,-0.0192,0.000,32.41,32.0,3,2048
49507585,0.000,-0.110,0.0000,-0.0526,0.0000,0.0049,0.000,32.41,32.0,3,2048
49508905,0.000,-0.132,0.0000,-0.1015,0.0000,0.0225,0.000,32.41,32.0,3,2048
49509655,0.000,-0.132,0.0000,0.0343,0.0000,-0.0214,0.000,32.41,32.0,3,2048
49510562,0.000,-0.110,0.0000,-0.0374,0.0000,0.0082,0.000,32.41,32.0,3,2048
49511873,0.000,-0.132,0.0000,0.0359,0.0000,-0.0093,0.000,32.41,32.0,3,2048
49512620,0.000,-0.132,0.0000,-0.0587,0.0000,0.0093,0.000,32.41,32.0,3,2048
49513905,0.000,-0.110,0.0000,-0.0481,0.0000,0.0093,0.000,32.41,32.0,3,2048
49514589,0.000,-0.110,0.0000,-0.0710,0.0000,0.0148,0.000,32.41,32.0,3,2048
49515910,0.000,-0.110,0.0000,0.0542,0.0000,-0.0082,0.000,32.41,32.0,3,2048
49516586,0.000,-0.110,0.0000,0.0374,0.0000,0.0104,0.000,32.41,32.0,3,2048
49517587,0.000,-0.132,0.0000,-0.0420,0.0000,-0.0258,0.000,32.41,32.0,3,2048
49518902,0.000,-0.110,0.0000,-0.1183,0.0000,0.0192,0.000,32.41,32.0,3,2048
49519587,0.000,-0.132,0.0000,0.0694,0.0000,-0.0335,0.000,32.41,32.0,3,2048
49520587,0.000,-0.110,0.0000,0.0465,0.0000,0.0610,0.000,32.41,32.0,3,2048
49521596,0.000,-0.110,0.0000,-0.0862,0.0000,-0.0027,0.000,32.41,32.0,3,2048
49522557,0.000,-0.110,0.0000,0.0053,0.0000,0.0071,0.000,32.41,32.0,3,2048
49523879,0.000,-0.110,0.0000,0.0374,0.0000,0.0324,0.000,32.41,32.0,3,2048
49524609,0.000,-0.132,0.0000,-0.0420,0.0000,-0.0302,0.000,32.41,32.0,3,2048
49525612,0.000,-0.110,0.0000,-0.0343,0.0000,-0.0049,0.000,32.41,32.0,3,2048
49526517,0.000,-0.110,0.0000,-0.0374,0.0000,-0.0170,0.000,32.41,32.0,3,2048
49527558,0.000,-0.110,0.0000,0.0298,0.0000,-0.0225,0.000,32.41,32.0,3,2048
49528883,0.000,-0.110,0.0000,0.0847,0.0000,0.0236,0.000,32.41,32.0,3,2048
49529615,0.000,-0.110,0.0000,0.0450,0.0000,-0.0225,0.000,32.41,32.0,3,2048
49530561,0.000,-0.110,0.0000,-0.0282,0.0000,-0.0082,0.000,32.41,32.0,3,2048
49531886,0.000,-0.110,0.0000,-0.0206,0.0000,0.0159,0.000,32.41,32.0,3,2048
49532556,0.000,-0.110,0.0000,-0.0587,0.0000,-0.0049,0.000,32.41,32.0,3,2048
49533927,0.000,-0.132,0.0000,-0.0450,0.0000,0.0016,0.000,32.41,32.0,3,2048
49534868,0.000,-0.132,0.0000,-0.1167,0.0000,0.0104,0.000,32.41,32.0,3,2048
49536201,0.000,-0.110,0.0000,0.0648,0.0000,0.0258,0.000,32.41,32.0,3,2048
49536870,0.000,-0.110,0.0000,-0.0069,0.0000,-0.0335,0.000,32.41,32.0,3,2048
49537904,0.000,-0.132,0.0000,0.0053,0.0000,-0.0126,0.000,32.41,32.0,3,2048
49539202,0.000,-0.132,0.0000,0.0237,0.0000,0.0137,0.000,32.41,32.0,3,2048
49539876,0.000,-0.110,0.0000,0.0694,0.0000,-0.0049,0.000,32.41,32.0,3,2048
49540872,0.000,-0.110,0.0000,0.0252,0.0000,0.0104,0.000,32.41,32.0,3,2048
49541906,0.000,-0.110,0.0000,0.0008,0.0000,-0.0082,0.000,32.41,32.0,3,2048
49542872,0.000,-0.132,0.0000,-0.0282,0.0000,0.0291,0.000,32.41,32.0,3,2048
49544205,0.000,-0.110,0.0000,0.0786,0.0000,-0.0313,0.000,32.41,32.0,3,2048
49544870,0.000,-0.110,0.0000,0.0450,0.0000,0.0104,0.000,32.41,32.0,3,2048
49545904,0.000,-0.110,0.0000,-0.0145,0.0000,0.0192,0.000,32.41,32.0,3,2048
49546871,0.000,-0.132,0.0000,-0.0374,0.0000,0.0060,0.000,32.41,32.0,3,2048
49547875,0.000,-0.110,0.0000,0.0298,0.0000,-0.0203,0.000,32.41,32.0,3,2048
49549198,0.000,-0.110,0.0000,0.0114,0.0000,0.0467,0.000,32.41,32.0,3,2048
49549740,0.000,-0.110,0.0000,0.0130,0.0000,-0.0269,0.000,32.41,32.0,3,2048
49550975,0.000,-0.110,0.0000,0.0389,0.0000,0.0258,0.000,32.41,32.0,3,2048
49552186,0.000,-0.110,0.0000,0.0206,0.0000,-0.0016,0.000,32.41,32.0,3,2048
49552556,0.000,-0.110,0.0000,-0.0343,0.0000,0.0005,0.000,32.41,32.0,3,2048
49553881,0.000,-0.110,0.0000,0.0038,0.0000,0.0214,0.000,32.41,32.0,3,2048
49554557,0.000,-0.110,0.0000,0.0191,0.0000,-0.0258,0.000,32.41,32.0,3,2048
49555881,0.000,-0.132,0.0000,-0.0694,0.0000,0.0423,0.000,32.41,32.0,3,2048
49556621,0.000,-0.110,0.0000,0.0603,0.0000,0.0159,0.000,32.41,32.0,3,2048
49557627,0.000,-0.110,0.0000,-0.0725,0.0000,0.0049,0.000,32.41,32.0,3,2048
49558905,0.000,-0.110,0.0000,0.0221,0.0000,-0.0060,0.000,32.41,32.0,3,2048
49559587,0.000,-0.132,0.0000,0.0237,0.0000,-0.0148,0.000,32.41,32.0,3,2048
49560591,0.000,-0.110,0.0000,0.0847,0.0000,0.0159,0.000,32.41,32.0,3,2048
