t_s,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp
16.404,351.777,351.821,0,-0.0191,0,0.0302,-0.018,32.38,38
16.415,351.777,351.821,0,-0.0557,0,-0.0126,-0.018,32.38,38
16.426,351.777,351.821,0,0.0572,0,0.0016,-0.018,32.38,38
16.456,351.777,351.821,0,0.0175,0,0.0126,-0.018,32.38,38
16.467,351.777,351.821,0,-0.0984,0,-0.0082,-0.018,32.38,38
16.478,351.777,351.821,0,-0.0114,0,0.0082,-0.018,32.38,38
16.508,351.777,351.821,0,-0.0343,0,-0.0104,-0.018,32.38,38
16.519,351.777,351.821,0,-0.0221,0,0.0291,-0.018,32.38,38
16.529,351.777,351.821,0,-0.0786,0,-0.0027,-0.018,32.38,38
16.569,351.777,351.821,0,-0.0206,0,0.0071,-0.018,32.38,38
16.58,351.777,351.799,0,-0.0038,0,-0.0104,-0.018,32.38,38
16.611,351.777,351.821,0,0.0572,0,0.0192,-0.018,32.38,38
16.622,351.777,351.799,0,0.0023,0,-0.0005,-0.018,32.38,38
16.632,351.777,351.821,0,-0.0084,0,0.0027,-0.018,32.38,38
16.662,351.777,351.799,0,-0.0191,0,0.0016,-0.018,32.38,38
16.673,351.777,351.821,0,0.0496,0,0.0049,-0.018,32.38,38
16.683,351.777,351.799,0,-0.0374,0,-0.0137,-0.018,32.38,38
16.714,351.777,351.821,0,-0.0603,0,0.0016,-0.018,32.38,38
16.725,351.777,351.821,0,-0.0298,0,0.0159,-0.018,32.38,38
16.765,351.777,351.821,0,0.016,0,0.0016,-0.018,32.38,38
16.776,351.777,351.821,0,0.0175,0,-0.0038,-0.018,32.38,38
16.813,351.777,351.821,0,-0.0038,0,0.039,-0.018,32.38,38
16.824,351.777,351.821,0,0.0679,0,0.0049,-0.018,32.38,38
16.834,351.777,351.821,0,0.0435,0,0.0423,-0.018,32.38,38
16.854,351.777,351.821,0,-0.1076,0,0.0335,-0.018,32.38,38
16.857,351.777,351.821,0,-0.1122,0,0.0071,-0.018,32.38,38
16.863,351.777,351.821,0,-0.0801,0,0.0005,-0.018,32.38,38
16.874,351.777,351.821,0,0.0923,0,-0.0104,-0.018,32.38,38
16.884,351.777,351.821,0,0.0908,0,-0.0445,-0.018,32.38,38
16.921,351.777,351.821,0,-0.0038,0,-0.0214,-0.018,32.38,38
16.932,351.777,351.821,0,0.0328,0,-0.0049,-0.018,32.38,38
16.968,351.777,351.821,0,0.0572,0,-0.0115,-0.018,32.38,38
16.979,351.777,351.821,0,-0.0221,0,-0.0313,-0.018,32.38,38
17.015,351.777,351.799,0,-0.1015,0,0.0412,-0.018,32.38,38
17.026,351.777,351.821,0,0.0877,0,-0.0203,-0.018,32.38,38
17.036,351.777,351.821,0,0.0847,0,-0.0302,-0.018,32.38,38
17.067,351.777,351.821,0,0.0069,0,0.0104,-0.018,32.38,38
17.078,351.777,351.821,0,0.1854,0,-0.0159,-0.018,32.38,38
17.088,351.777,351.821,0,0.132,0,-0.0027,-0.018,32.38,38
17.118,351.777,351.821,0,0.0221,0,-0.0412,-0.018,32.38,38
17.129,351.777,351.821,0,0.0526,0,0.0115,-0.018,32.38,38
17.139,351.777,351.821,0,0.0465,0,0.0082,-0.018,32.38,38
17.171,351.777,351.821,0,0.0648,0,0.0126,-0.018,32.38,38
17.182,351.777,351.821,0,-0.0603,0,0.017,-0.018,32.38,38
